IMG_0345.JPG.jpg: PSNR = 17.19, MSE = 0.02
IMG_0355.JPG.jpg: PSNR = 17.49, MSE = 0.02
IMG_0023.JPG.jpg: PSNR = 19.41, MSE = 0.01
IMG_0676.JPG.jpg: PSNR = 19.08, MSE = 0.01
IMG_0666.JPG.jpg: PSNR = 17.90, MSE = 0.02
IMG_0424.JPG.jpg: PSNR = 18.25, MSE = 0.01
IMG_0319.JPG.jpg: PSNR = 18.71, MSE = 0.01
I3_1.jpg: PSNR = 19.46, MSE = 0.01
IMG_0683.JPG.jpg: PSNR = 20.11, MSE = 0.01
IMG_0693.JPG.jpg: PSNR = 18.76, MSE = 0.01
I2_12.jpg: PSNR = 17.14, MSE = 0.02
I_200.jpg: PSNR = 17.20, MSE = 0.02
I5_27.jpg: PSNR = 19.26, MSE = 0.01
I5_33.jpg: PSNR = 22.40, MSE = 0.01
I_9.jpg: PSNR = 19.21, MSE = 0.01
I_15.jpg: PSNR = 17.55, MSE = 0.02
IMG_0587.JPG.jpg: PSNR = 18.98, MSE = 0.01
I5_7.jpg: PSNR = 19.68, MSE = 0.01
I_29.jpg: PSNR = 19.25, MSE = 0.01
IMG_0658.JPG.jpg: PSNR = 19.08, MSE = 0.01
IMG_0648.JPG.jpg: PSNR = 18.85, MSE = 0.01
IMG_0175.JPG.jpg: PSNR = 19.08, MSE = 0.01
I3_85.jpg: PSNR = 18.99, MSE = 0.01
IMG_0165.JPG.jpg: PSNR = 18.48, MSE = 0.01
I_189.jpg: PSNR = 16.12, MSE = 0.02
I3_91.jpg: PSNR = 18.21, MSE = 0.02
IMG_0213.JPG.jpg: PSNR = 18.93, MSE = 0.01
I3_107.jpg: PSNR = 19.04, MSE = 0.01
I_162.jpg: PSNR = 19.35, MSE = 0.01
I_176.jpg: PSNR = 20.14, MSE = 0.01
I3_113.jpg: PSNR = 18.76, MSE = 0.01
IMG_0446.JPG.jpg: PSNR = 16.46, MSE = 0.02
I3_46.jpg: PSNR = 19.89, MSE = 0.01
I3_52.jpg: PSNR = 16.02, MSE = 0.02
IMG_0456.JPG.jpg: PSNR = 17.97, MSE = 0.02
I3_53.jpg: PSNR = 17.81, MSE = 0.02
I3_47.jpg: PSNR = 17.84, MSE = 0.02
I3_112.jpg: PSNR = 18.09, MSE = 0.02
I_177.jpg: PSNR = 17.93, MSE = 0.02
I_163.jpg: PSNR = 15.05, MSE = 0.03
I3_106.jpg: PSNR = 18.64, MSE = 0.01
I3_90.jpg: PSNR = 19.37, MSE = 0.01
I_188.jpg: PSNR = 20.76, MSE = 0.01
IMG_0181.JPG.jpg: PSNR = 17.33, MSE = 0.02
I3_84.jpg: PSNR = 17.80, MSE = 0.02
I_28.jpg: PSNR = 16.55, MSE = 0.02
I5_6.jpg: PSNR = 19.29, MSE = 0.01
IMG_0563.JPG.jpg: PSNR = 17.44, MSE = 0.02
IMG_0573.JPG.jpg: PSNR = 18.45, MSE = 0.01
I_14.jpg: PSNR = 19.65, MSE = 0.01
IMG_0336.JPG.jpg: PSNR = 17.17, MSE = 0.02
I5_32.jpg: PSNR = 21.33, MSE = 0.01
I_8.jpg: PSNR = 18.95, MSE = 0.01
IMG_0354.JPG.jpg: PSNR = 17.84, MSE = 0.02
I5_26.jpg: PSNR = 19.12, MSE = 0.01
IMG_0344.JPG.jpg: PSNR = 16.24, MSE = 0.02
IMG_0479.JPG.jpg: PSNR = 19.48, MSE = 0.01
I_201.jpg: PSNR = 18.35, MSE = 0.01
IMG_0501.JPG.jpg: PSNR = 17.59, MSE = 0.02
I2_13.jpg: PSNR = 18.25, MSE = 0.01
IMG_0469.JPG.jpg: PSNR = 18.75, MSE = 0.01
IMG_0667.JPG.jpg: PSNR = 18.10, MSE = 0.02
IMG_0677.JPG.jpg: PSNR = 17.23, MSE = 0.02
IMG_0022.JPG.jpg: PSNR = 16.91, MSE = 0.02
IMG_0295.JPG.jpg: PSNR = 19.25, MSE = 0.01
IMG_0641.JPG.jpg: PSNR = 19.20, MSE = 0.01
IMG_0651.JPG.jpg: PSNR = 19.02, MSE = 0.01
I3_2.jpg: PSNR = 19.11, MSE = 0.01
I_203.jpg: PSNR = 19.03, MSE = 0.01
IMG_0372.JPG.jpg: PSNR = 18.42, MSE = 0.01
I5_18.jpg: PSNR = 20.96, MSE = 0.01
I2_11.jpg: PSNR = 19.75, MSE = 0.01
I2_39.jpg: PSNR = 19.03, MSE = 0.01
I5_30.jpg: PSNR = 18.98, MSE = 0.01
IMG_0527.JPG.jpg: PSNR = 18.11, MSE = 0.02
I5_24.jpg: PSNR = 18.14, MSE = 0.02
I_16.jpg: PSNR = 18.04, MSE = 0.02
I5_4.jpg: PSNR = 16.56, MSE = 0.02
IMG_0310.JPG.jpg: PSNR = 18.29, MSE = 0.01
IMG_0300.JPG.jpg: PSNR = 19.08, MSE = 0.01
IMG_0076.JPG.jpg: PSNR = 18.64, MSE = 0.01
IMG_0066.JPG.jpg: PSNR = 17.97, MSE = 0.02
IMG_0633.JPG.jpg: PSNR = 18.75, MSE = 0.01
I3_92.jpg: PSNR = 17.97, MSE = 0.02
I3_86.jpg: PSNR = 20.20, MSE = 0.01
I_175.jpg: PSNR = 15.24, MSE = 0.03
I3_110.jpg: PSNR = 20.08, MSE = 0.01
IMG_0494.JPG.jpg: PSNR = 17.60, MSE = 0.02
I3_79.jpg: PSNR = 18.44, MSE = 0.01
I3_104.jpg: PSNR = 17.36, MSE = 0.02
I_161.jpg: PSNR = 19.55, MSE = 0.01
I3_51.jpg: PSNR = 18.72, MSE = 0.01
I_149.jpg: PSNR = 18.93, MSE = 0.01
I3_45.jpg: PSNR = 20.99, MSE = 0.01
I3_44.jpg: PSNR = 18.09, MSE = 0.02
IMG_0235.JPG.jpg: PSNR = 17.50, MSE = 0.02
IMG_0225.JPG.jpg: PSNR = 18.15, MSE = 0.02
I_148.jpg: PSNR = 18.05, MSE = 0.02
I3_50.jpg: PSNR = 21.30, MSE = 0.01
I_160.jpg: PSNR = 17.85, MSE = 0.02
I3_105.jpg: PSNR = 19.46, MSE = 0.01
I3_78.jpg: PSNR = 19.90, MSE = 0.01
IMG_0470.JPG.jpg: PSNR = 16.52, MSE = 0.02
I3_111.jpg: PSNR = 18.07, MSE = 0.02
IMG_0508.JPG.jpg: PSNR = 17.66, MSE = 0.02
I_174.jpg: PSNR = 18.53, MSE = 0.01
I3_87.jpg: PSNR = 17.69, MSE = 0.02
I3_93.jpg: PSNR = 18.32, MSE = 0.01
IMG_0153.JPG.jpg: PSNR = 18.17, MSE = 0.02
IMG_0143.JPG.jpg: PSNR = 18.62, MSE = 0.01
IMG_0092.JPG.jpg: PSNR = 18.03, MSE = 0.02
IMG_0082.JPG.jpg: PSNR = 21.05, MSE = 0.01
I5_5.jpg: PSNR = 19.39, MSE = 0.01
I_17.jpg: PSNR = 18.50, MSE = 0.01
I5_25.jpg: PSNR = 18.80, MSE = 0.01
I2_38.jpg: PSNR = 18.69, MSE = 0.01
I5_31.jpg: PSNR = 18.02, MSE = 0.02
I5_19.jpg: PSNR = 19.42, MSE = 0.01
I2_10.jpg: PSNR = 18.07, MSE = 0.02
I_202.jpg: PSNR = 19.85, MSE = 0.01
IMG_0188.JPG.jpg: PSNR = 17.83, MSE = 0.02
I3_3.jpg: PSNR = 18.92, MSE = 0.01
IMG_0198.JPG.jpg: PSNR = 17.66, MSE = 0.02
IMG_0049.JPG.jpg: PSNR = 20.94, MSE = 0.01
IMG_0412.JPG.jpg: PSNR = 18.20, MSE = 0.02
IMG_0247.JPG.jpg: PSNR = 18.49, MSE = 0.01
IMG_0595.JPG.jpg: PSNR = 19.22, MSE = 0.01
I5_95.jpg: PSNR = 20.84, MSE = 0.01
I5_81.jpg: PSNR = 19.36, MSE = 0.01
IMG_0201.JPG.jpg: PSNR = 18.41, MSE = 0.01
IMG_0379.JPG.jpg: PSNR = 16.77, MSE = 0.02
I5_56.jpg: PSNR = 21.68, MSE = 0.01
IMG_0177.JPG.jpg: PSNR = 17.88, MSE = 0.02
I5_42.jpg: PSNR = 18.18, MSE = 0.02
I2_63.jpg: PSNR = 16.64, MSE = 0.02
I2_4.jpg: PSNR = 17.75, MSE = 0.02
IMG_0628.JPG.jpg: PSNR = 18.73, MSE = 0.01
I_58.jpg: PSNR = 16.11, MSE = 0.02
IMG_0638.JPG.jpg: PSNR = 19.37, MSE = 0.01
IMG_0105.JPG.jpg: PSNR = 17.42, MSE = 0.02
I_70.jpg: PSNR = 19.01, MSE = 0.01
I_64.jpg: PSNR = 17.05, MSE = 0.02
IMG_0115.JPG.jpg: PSNR = 18.62, MSE = 0.01
IMG_0263.JPG.jpg: PSNR = 18.29, MSE = 0.01
IMG_0273.JPG.jpg: PSNR = 19.40, MSE = 0.01
I5_127.jpg: PSNR = 19.34, MSE = 0.01
I5_133.jpg: PSNR = 20.46, MSE = 0.01
I3_37.jpg: PSNR = 17.31, MSE = 0.02
I3_23.jpg: PSNR = 19.22, MSE = 0.01
IMG_0681.JPG.jpg: PSNR = 20.33, MSE = 0.01
I_113.jpg: PSNR = 18.03, MSE = 0.02
I_107.jpg: PSNR = 13.04, MSE = 0.05
I_106.jpg: PSNR = 17.87, MSE = 0.02
IMG_0158.JPG.jpg: PSNR = 18.72, MSE = 0.01
IMG_0148.JPG.jpg: PSNR = 18.62, MSE = 0.01
I_112.jpg: PSNR = 16.93, MSE = 0.02
IMG_0030.JPG.jpg: PSNR = 17.77, MSE = 0.02
I3_22.jpg: PSNR = 20.57, MSE = 0.01
IMG_0675.JPG.jpg: PSNR = 19.22, MSE = 0.01
I3_36.jpg: PSNR = 18.68, MSE = 0.01
IMG_0665.JPG.jpg: PSNR = 17.98, MSE = 0.02
IMG_0513.JPG.jpg: PSNR = 18.11, MSE = 0.02
I5_132.jpg: PSNR = 17.35, MSE = 0.02
I5_126.jpg: PSNR = 19.63, MSE = 0.01
IMG_0346.JPG.jpg: PSNR = 16.41, MSE = 0.02
IMG_0297.JPG.jpg: PSNR = 17.57, MSE = 0.02
I_65.jpg: PSNR = 20.57, MSE = 0.01
I_71.jpg: PSNR = 20.13, MSE = 0.01
IMG_0089.JPG.jpg: PSNR = 20.12, MSE = 0.01
I_59.jpg: PSNR = 19.60, MSE = 0.01
I2_5.jpg: PSNR = 19.82, MSE = 0.01
I2_76.jpg: PSNR = 17.14, MSE = 0.02
I2_62.jpg: PSNR = 19.29, MSE = 0.01
I5_43.jpg: PSNR = 21.06, MSE = 0.01
IMG_0193.JPG.jpg: PSNR = 18.63, MSE = 0.01
I5_57.jpg: PSNR = 18.76, MSE = 0.01
I5_80.jpg: PSNR = 17.04, MSE = 0.02
I5_94.jpg: PSNR = 18.21, MSE = 0.02
IMG_0324.JPG.jpg: PSNR = 16.93, MSE = 0.02
IMG_0409.JPG.jpg: PSNR = 17.37, MSE = 0.02
IMG_0571.JPG.jpg: PSNR = 18.70, MSE = 0.01
IMG_0419.JPG.jpg: PSNR = 18.48, MSE = 0.01
IMG_0561.JPG.jpg: PSNR = 17.89, MSE = 0.02
IMG_0617.JPG.jpg: PSNR = 17.00, MSE = 0.02
IMG_0607.JPG.jpg: PSNR = 19.41, MSE = 0.01
IMG_0052.JPG.jpg: PSNR = 18.59, MSE = 0.01
IMG_0621.JPG.jpg: PSNR = 19.21, MSE = 0.01
IMG_0547.JPG.jpg: PSNR = 18.54, MSE = 0.01
I5_82.jpg: PSNR = 21.28, MSE = 0.01
I5_96.jpg: PSNR = 21.72, MSE = 0.01
I2_48.jpg: PSNR = 20.43, MSE = 0.01
I5_41.jpg: PSNR = 19.12, MSE = 0.01
I5_55.jpg: PSNR = 19.88, MSE = 0.01
IMG_0698.JPG.jpg: PSNR = 19.47, MSE = 0.01
I2_74.jpg: PSNR = 17.22, MSE = 0.02
I5_69.jpg: PSNR = 19.63, MSE = 0.01
I2_60.jpg: PSNR = 18.09, MSE = 0.02
I2_7.jpg: PSNR = 17.47, MSE = 0.02
I_67.jpg: PSNR = 18.36, MSE = 0.01
I_73.jpg: PSNR = 18.37, MSE = 0.01
I_98.jpg: PSNR = 17.35, MSE = 0.02
IMG_0535.JPG.jpg: PSNR = 18.32, MSE = 0.01
IMG_0525.JPG.jpg: PSNR = 19.75, MSE = 0.01
I5_118.jpg: PSNR = 18.20, MSE = 0.02
I5_130.jpg: PSNR = 19.68, MSE = 0.01
IMG_0370.JPG.jpg: PSNR = 17.70, MSE = 0.02
I5_124.jpg: PSNR = 18.29, MSE = 0.01
I3_20.jpg: PSNR = 19.39, MSE = 0.01
I_138.jpg: PSNR = 15.37, MSE = 0.03
I3_34.jpg: PSNR = 17.75, MSE = 0.02
IMG_0016.JPG.jpg: PSNR = 19.88, MSE = 0.01
I_104.jpg: PSNR = 18.42, MSE = 0.01
I_110.jpg: PSNR = 18.15, MSE = 0.02
IMG_0643.JPG.jpg: PSNR = 18.07, MSE = 0.02
I_111.jpg: PSNR = 18.66, MSE = 0.01
I_105.jpg: PSNR = 18.67, MSE = 0.01
I3_35.jpg: PSNR = 17.66, MSE = 0.02
I_139.jpg: PSNR = 17.95, MSE = 0.02
I3_21.jpg: PSNR = 16.69, MSE = 0.02
I5_125.jpg: PSNR = 16.24, MSE = 0.02
